"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Tefibazumab|Plasma (Peripheral Venous Blood) [µmol/l]"
0,18990,0.9991099
0,19005,0.9987458
0,19020,0.9983818
0,19035,0.998018
0,19050,0.9976543
0,19065,0.9972908
0,19080,0.9969274
0,19095,0.9965643
0,19110,0.9962012
0,19125,0.9958383
0,19140,0.9954756
0,19155,0.9951131
0,19170,0.9947507
0,19185,0.9943885
0,19200,0.9940264
0,19215,0.9936644
0,19230,0.9933027
0,19245,0.9929411
0,19260,0.9925796
0,19275,0.9922183
0,19290,0.9918572
0,19305,0.9914962
0,19320,0.9911354
0,19335,0.9907748
0,19350,0.9904142
0,19365,0.9900538
0,19380,0.9896936
0,19395,0.9893336
0,19410,0.9889737
0,19425,0.988614
0,19440,0.9882544
0,19455,0.987895
0,19470,0.9875358
0,19485,0.9871767
0,19500,0.9868177
0,19515,0.9864589
0,19530,0.9861003
0,19545,0.9857417
0,19560,0.9853834
0,19575,0.9850252
0,19590,0.9846672
0,19605,0.9843093
0,19620,0.9839516
0,19635,0.983594
0,19650,0.9832366
0,19665,0.9828793
0,19680,0.9825222
0,19695,0.9821653
0,19710,0.9818085
0,19725,0.9814518
0,19740,0.9810953
0,19755,0.9807389
0,19770,0.9803827
0,19785,0.9800267
0,19800,0.9796708
0,19815,0.979315
0,19830,0.9789595
0,19845,0.978604
0,19860,0.9782487
0,19875,0.9778936
0,19890,0.9775386
0,19905,0.9771838
